2022-03-30 20:05:35.226985, ICMP ECHO REQUEST, 11141120, 00:00:00:aa:00:00, 10.0.0.20, 00:00:00:aa:00:04, 10.0.3.20, 
2022-03-30 20:05:35.227976, ICMP ECHO REQUEST, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.228796, ICMP ECHO REQUEST, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.229534, ICMP ECHO REPLY  , 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.20, 
2022-03-30 20:05:35.230637, ICMP ECHO REPLY  , 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.20, 
2022-03-30 20:05:35.231466, ICMP ECHO REPLY  , 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.20, Packet has reached its destination
2022-03-30 20:05:35.233742, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:35.235199, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:35.235427, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:35.235862, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.236584, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.236802, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.237353, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.238059, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.238303, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.238998, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:35.239762, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:35.240707, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:35.336449, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:35.337054, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:35.337256, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:35.338758, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.339074, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.339278, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.340288, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.340498, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.340691, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.341630, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:35.342674, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:35.343415, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:35.437570, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:35.438116, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:35.438318, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:35.439680, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.439991, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.440202, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
